household_id,person_id,country,sex,age,relhh,marstat,educ,hosp12,wat_source,stove,refrigerator,tv,bike,motorbike,computer,car,video,stereo,sew,merge_index
7.01E+14,1,Tanzania,1,39,1,0,2,0,0,1,1,1,1,0,1,0,1,1,1,11626
1.71E+15,1,Tanzania,0,54,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,15275
7.01E+14,1,Tanzania,1,54,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11251
5.10E+15,1,Tanzania,0,41,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,16443
5.30E+15,2,Tanzania,0,38,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16975
8.01E+14,1,Tanzania,0,32,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,12562
2.10E+15,1,Tanzania,0,25,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,16270
1.80E+15,2,Tanzania,1,24,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,15517
7.01E+14,2,Tanzania,1,33,2,1,1,0,0,1,1,0,0,0,0,0,0,1,1,11152
1.20E+15,1,Tanzania,0,20,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,13836
1.50E+15,2,Tanzania,1,26,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,14489
1.04E+14,5,Tanzania,1,18,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,10030
7.03E+14,2,Tanzania,1,57,2,1,2,0,1,1,1,1,0,0,0,1,0,0,0,12348
2.10E+15,2,Tanzania,1,24,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,16213
7.01E+14,1,Tanzania,1,25,1,0,2,0,1,1,1,1,0,0,0,0,1,1,1,11575
7.01E+14,2,Tanzania,1,25,2,1,0,0,0,1,1,1,0,0,1,0,1,1,0,11299
5.20E+15,2,Tanzania,1,42,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,16510
5.40E+15,2,Tanzania,1,32,2,1,1,0,0,0,0,0,1,0,0,0,0,0,1,17218
1.60E+15,4,Tanzania,0,22,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14766
5.20E+15,3,Tanzania,0,28,3,0,1,0,1,1,1,1,1,1,0,0,1,1,0,16519
1.81E+15,1,Tanzania,0,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15584
5.30E+15,2,Tanzania,1,31,2,1,2,0,1,1,1,1,0,0,0,1,1,1,0,16553
7.01E+14,3,Tanzania,1,26,2,1,2,0,0,1,1,1,0,1,1,0,0,1,0,11360
5.30E+15,2,Tanzania,1,27,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,17101
5.20E+15,1,Tanzania,0,44,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,16525
1.40E+15,1,Tanzania,0,23,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,14214
5.10E+15,8,Tanzania,0,21,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,16415
5.50E+15,1,Tanzania,0,47,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,17283
5.10E+15,6,Tanzania,1,25,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,16364
3.02E+14,3,Tanzania,0,18,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10299
4.03E+14,2,Tanzania,1,44,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10602
1.71E+15,14,Tanzania,1,20,4,1,1,0,0,1,0,1,1,0,0,0,1,1,0,15213
7.03E+14,2,Tanzania,1,26,2,1,1,0,0,1,0,1,0,0,0,0,1,1,0,12125
7.01E+14,1,Tanzania,1,35,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,11689
1.21E+15,3,Tanzania,0,17,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,13947
5.30E+15,2,Tanzania,1,32,2,1,1,0,1,0,1,1,1,1,0,0,1,1,1,16635
7.01E+14,4,Tanzania,0,20,3,0,2,0,1,1,0,0,0,0,0,0,0,1,0,11258
1.20E+15,1,Tanzania,0,42,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,13779
1.01E+15,1,Tanzania,0,28,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13455
9.02E+14,1,Tanzania,0,56,1,1,4,0,0,1,1,1,0,0,1,1,1,1,0,12870
5.30E+15,2,Tanzania,1,62,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,16672
2.00E+15,2,Tanzania,1,18,2,0,1,1,1,1,0,0,0,0,0,0,0,1,0,16110
7.03E+14,2,Tanzania,1,27,2,1,1,1,0,1,0,1,0,0,0,0,0,0,0,12391
7.01E+14,3,Tanzania,1,19,4,0,1,0,0,1,1,1,1,0,0,1,1,1,0,11816
5.06E+14,3,Tanzania,0,20,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10977
5.40E+15,3,Tanzania,0,22,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,17220
1.50E+15,1,Tanzania,1,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14623
8.05E+14,1,Tanzania,0,38,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,12720
9.04E+14,2,Tanzania,1,35,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,13068
1.20E+15,2,Tanzania,1,38,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13881
1.10E+15,1,Tanzania,0,50,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,13583
7.01E+14,5,Tanzania,1,25,3,0,3,0,1,1,1,1,0,0,1,0,1,0,1,11735
2.10E+15,2,Tanzania,1,31,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,16340
1.50E+15,3,Tanzania,1,25,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,14493
1.21E+15,1,Tanzania,1,47,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13911
1.91E+15,1,Tanzania,0,37,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,15936
1.20E+15,1,Tanzania,0,21,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,13857
3.04E+14,3,Tanzania,1,43,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,10419
1.60E+15,7,Tanzania,1,23,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,14703
1.10E+15,7,Tanzania,0,18,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13547
6.01E+14,6,Tanzania,0,27,3,0,0,0,0,1,1,1,0,0,0,0,1,1,0,11021
1.71E+15,1,Tanzania,0,52,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,15249
1.60E+15,7,Tanzania,1,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14695
6.02E+14,6,Tanzania,1,13,4,0,0,0,0,1,0,1,1,0,1,0,1,1,0,11070
1.60E+15,2,Tanzania,1,37,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14713
2.10E+15,7,Tanzania,0,28,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16267
1.90E+15,11,Tanzania,0,21,4,0,1,0,0,0,0,1,1,0,0,0,0,1,0,15697
9.01E+14,3,Tanzania,0,18,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,12838
4.02E+14,2,Tanzania,1,47,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,10538
2.00E+15,7,Tanzania,1,39,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,16134
5.30E+15,5,Tanzania,1,21,3,0,1,0,0,0,1,1,1,0,0,0,1,1,1,17034
1.70E+15,2,Tanzania,1,31,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,14955
3.01E+14,1,Tanzania,0,65,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,10260
4.03E+14,2,Tanzania,1,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10616
1.20E+15,2,Tanzania,1,25,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,13776
2.10E+15,2,Tanzania,1,25,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,16248
7.01E+14,2,Tanzania,0,46,3,1,1,0,0,1,0,0,0,0,0,0,0,1,1,11450
8.01E+14,5,Tanzania,0,24,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,12561
1.50E+15,4,Tanzania,0,17,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,14494
5.30E+15,7,Tanzania,0,21,4,0,2,0,1,0,1,1,1,0,0,0,0,1,0,16908
2.00E+15,1,Tanzania,0,31,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,16080
7.01E+14,10,Tanzania,1,33,4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,11475
1.05E+14,1,Tanzania,0,42,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10054
5.30E+15,10,Tanzania,0,39,4,0,2,0,0,1,1,1,1,1,1,1,1,1,1,16655
7.01E+14,1,Tanzania,0,27,1,1,2,0,1,1,1,1,0,0,0,0,1,1,0,11817
5.06E+14,2,Tanzania,1,26,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,10950
1.05E+14,4,Tanzania,0,15,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,10062
1.71E+15,1,Tanzania,0,41,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,15148
1.60E+15,1,Tanzania,0,34,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,14696
5.30E+15,2,Tanzania,0,32,4,1,1,0,0,1,0,1,1,0,0,0,0,1,0,16646
1.60E+15,1,Tanzania,0,27,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,14759
7.03E+14,1,Tanzania,0,45,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,12429
1.91E+15,4,Tanzania,0,23,3,1,1,0,0,1,0,0,1,0,0,0,0,1,0,15919
1.11E+15,1,Tanzania,0,37,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,13715
7.03E+14,1,Tanzania,1,49,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,12446
6.01E+14,20,Tanzania,1,35,4,1,1,0,1,1,1,1,1,1,1,1,1,1,0,11041
5.30E+15,1,Tanzania,0,36,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,16960
2.00E+15,3,Tanzania,0,21,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,16100
5.10E+15,1,Tanzania,1,46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16405
1.81E+15,1,Tanzania,0,36,1,1,2,1,0,1,1,1,1,1,0,0,0,0,0,15653
1.50E+15,1,Tanzania,0,36,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,14588
7.01E+14,2,Tanzania,1,30,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,11773
1.11E+15,8,Tanzania,0,53,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,13753
1.40E+15,3,Tanzania,1,31,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,14237
1.00E+15,11,Tanzania,0,12,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13171
5.30E+15,3,Tanzania,1,26,3,0,1,0,1,1,1,1,1,0,1,0,1,0,1,16964
